rideable_type,member_casual,total_rides,total_ride_minutes,avg_ride_length
classic_bike,casual,667976,19542749.373050977,29.256663971536366
classic_bike,member,1274447,17363875.491102956,13.624635226967428
electric_bike,casual,1326798,18621508.224117987,14.034923344863337
electric_bike,member,2278106,25097647.520801354,11.016891892125017
